date,maxtp(Maximum Air Temperature - degrees C),mintp(Minimum Air Temperature - degrees C),gmin(Grass Minimum Temperature - degrees C),rain(Precipitation Amount - mm),cbl (Mean CBL Pressure-hpa),wdsp(Mean Wind Speed - knot),pe(Potential Evapotranspiration - mm),evap(Evaporation -mm)
11/01/1959,1.9,-2.6,-4.4,0,1004.5,11.2,0.3,0.3
12/01/1959,3.4,-3.3,-4.6,0,999,10.5,0.2,0.2
13/01/1959,-0.8,-4.6,-5.9,0,994.7,7.5,0.2,0.2
14/01/1959,3.3,-2.4,-5.4,0.2,992.1,4.6,0.3,0.4
15/01/1959,4.4,-1.7,-3.4,0,1002.2,4.5,0.2,0.3
16/01/1959,5.8,-3.9,-6.1,0,1012.8,4.5,0.1,0.2
17/01/1959,9.6,4.3,-5,3.4,1005.4,6.2,0.5,0.6
18/01/1959,11.3,3.3,-0.5,0.5,992.6,6.9,0.4,0.5
19/01/1959,11.1,8,7.2,1.1,978.1,8.5,0.8,1
20/01/1959,8.6,4.4,2.3,4.9,967.2,7.5,0.4,0.4
21/01/1959,6.7,3.3,2.8,7.5,970.4,7,0.3,0.4
22/01/1959,5.9,-1.4,3.3,0,978.2,9.8,0.3,0.5
23/01/1959,3.8,-1.4,-3.3,0,1000,9.5,0.3,0.4
24/01/1959,4.2,-2.4,-4,0,1017.3,6.2,0.2,0.2
25/01/1959,5.8,-3.7,-5.6,0,1023.8,3.8,0.1,0.2
26/01/1959,6.1,2.8,-3.9,0,1019.1,13.9,0.8,1
27/01/1959,7.5,0.2,1.7,0,1016.1,6.7,0.4,0.5
28/01/1959,8.3,1.1,-3.3,0,1016.2,1.9,0.3,0.4
29/01/1959,10.4,6.6,0,0.7,1016.5,1.2,0.3,0.4
30/01/1959,8.1,4,5,2.2,1019.7,7.8,0.2,0.3
31/01/1959,6.6,2.5,0.2,0,1022.8,7.9,0.6,0.8
01/02/1959,6.4,1.1,-1.4,0,1025.9,6.8,0.6,0.8
02/02/1959,7.1,-1.1,-7,0,1028.2,2.5,0.2,0.4
03/02/1959,5.1,0.8,-3.1,0,1028.2,9.5,0.6,0.8
04/02/1959,5.2,3,1.2,0,1024.9,13.8,0.7,0.9
05/02/1959,4.9,0.3,-0.8,0,1021.2,3,0.4,0.6
06/02/1959,5.6,-1.2,-4.5,0.3,1016.3,6.2,0.3,0.5
07/02/1959,6.7,2.1,2.7,0,1009.8,6,0.3,0.4
08/02/1959,7.6,-1.6,-4.1,0,1012.9,3.5,0.3,0.5
09/02/1959,7.4,1.5,-2.6,4.3,1015,9.1,0.4,0.5
10/02/1959,10.5,1.6,-0.2,0,1022.9,5.3,0.5,0.7
11/02/1959,7.4,-1.3,-4.8,0.1,1021.8,6.3,0.3,0.5
12/02/1959,7.3,4.8,0,0,1016.8,10.2,0.5,0.7
13/02/1959,9.8,5.6,3.9,0,1019.6,9.9,0.9,1.1
14/02/1959,10.9,4.9,7.4,0.4,1025.1,9.6,0.6,0.8
15/02/1959,11.3,2.9,0.2,0.6,1028.4,6.8,0.6,0.8
16/02/1959,11.7,6.5,6.8,0,1029.9,8.2,0.9,1.1
17/02/1959,11.5,2.2,-0.5,0,1030.1,3.6,0.6,0.9
18/02/1959,11.6,0.2,-5.6,0,1027.8,4,0.7,1
19/02/1959,8.3,-0.6,-1.2,0,1024.5,4.9,0.5,0.7
20/02/1959,10.5,6.1,0.6,0,1019.2,14,1.2,1.6
21/02/1959,11,4.8,3.3,0,1019.6,14.8,0.7,1.1
22/02/1959,11.3,7,5.6,0,1019.2,7.2,0.8,1.1
23/02/1959,10.9,6.7,5.7,0.2,1013.3,11.3,1.1,1.5
24/02/1959,13.2,8.3,6.7,0.1,1011.8,8.3,1.1,1.5
25/02/1959,13.2,7.8,9,0,1008.2,13.5,1.2,1.7
26/02/1959,12.9,6.9,2.3,0,1006.7,16.5,1.3,1.8
27/02/1959,13.8,9.4,8.5,1.1,1003.7,14.3,1.6,2.1
28/02/1959,10.7,4.9,6.9,6,1005.2,3.8,0.6,0.8
01/03/1959,6.9,3.3,-2.8,0,1006.8,3.9,0.4,0.6
02/03/1959,9.4,1.9,1.1,1.9,998,6.8,0.5,0.7
03/03/1959,12.2,5,2.8,0.8,989.5,6.2,1.1,1.5
04/03/1959,9.2,3.6,0.7,4.8,976.5,10.7,0.7,1.2
05/03/1959,9.5,5.1,3.5,3.4,967.8,10.3,1,1.4
06/03/1959,9.1,6.7,5.6,0.6,974,9.2,0.8,1.2
07/03/1959,7.9,5.3,5.4,0.1,989,12.1,0.8,1.2
08/03/1959,7.1,4,2.6,0,1002.3,10.7,1.2,1.7
09/03/1959,7.3,5.2,1.7,0,1001.1,15.3,1,1.5
10/03/1959,10.5,7.3,6,0.2,992.3,11.3,0.9,1.4
11/03/1959,10.1,5.6,6.7,8.9,984.3,10.6,0.9,1.4
12/03/1959,10.2,2.1,2.2,0,1000.8,8.2,1.3,1.9
13/03/1959,9.6,1.9,-3.9,1.6,1009.6,10.1,0.9,1.4
14/03/1959,13.1,6.4,7.3,5.2,1007,11.8,0.9,1.3
15/03/1959,10.8,2.8,1.3,0.3,1015.1,7,1.3,1.9
16/03/1959,10.1,2.1,-2.3,0,1018.3,3.2,1.2,1.7
17/03/1959,5.8,3.8,-0.5,0,1016.2,8.5,0.8,1.1
18/03/1959,4.8,3.7,3.4,0,1014.5,10.4,1.1,1.5
19/03/1959,6.1,3.6,3.2,0,1014.8,7.7,1.2,1.7
20/03/1959,7.3,4,2.2,0,1013.2,6.6,1,1.3
21/03/1959,9.8,2.1,-2.6,0,1008.2,7.6,1.2,1.9
22/03/1959,15.2,5.6,4.6,3.1,1005.3,9.4,1.6,2.2
23/03/1959,10.6,6.7,4.6,3,1006.7,10.5,1.1,1.6
24/03/1959,11.5,7.4,6.4,2.4,999.5,11,1.3,2.2
25/03/1959,12.2,5,2.7,0.2,998.5,9.3,1.8,2.7
26/03/1959,13.8,5.6,3.5,0,997.8,10.1,1.9,2.8
27/03/1959,11.2,5,6.8,1.2,989.8,12.2,1.7,2.7
28/03/1959,12.2,4.4,2.8,0.9,994.3,11.3,2,3
29/03/1959,12.2,6.2,5.7,0.9,986.4,11,2,2.8
30/03/1959,12,5.6,3.8,0.2,993.4,6,1.5,2.1
31/03/1959,15.4,7,4.1,0,1005.5,10.9,1.5,2.1
01/04/1959,12.8,8.2,8.7,0.5,1011.8,8.9,1.7,2.4
02/04/1959,14.2,8.3,3.3,0,1012.3,10.3,1.8,2.5
03/04/1959,13.1,4.6,6.6,0,1011.7,4.5,1.3,1.7
04/04/1959,12.3,3.2,-3.4,0,1008,6.3,2,3
05/04/1959,10.9,2.4,0.7,0,1001.2,10.9,1.6,2.3
06/04/1959,12.2,4.1,5.7,2,989.4,20.5,2.1,3.5
07/04/1959,11.9,4.4,2.2,0.8,984.3,15.6,1.6,2.5
08/04/1959,9.8,4,2.3,1.2,977.5,13.8,1.8,3.1
09/04/1959,9.4,2.8,1.7,4.6,981.4,8,1.6,2.5
10/04/1959,10.4,1.7,0.4,0.3,985.2,6.8,1.7,2.5
11/04/1959,9.6,2.1,-0.8,7.2,980.7,9.5,0.9,1.5
12/04/1959,14.3,7.1,5,0.4,983.9,12.1,1.9,2.8
13/04/1959,13.4,7.4,4.7,0,984.5,10.3,1.7,2.4
14/04/1959,12.4,8.3,5.6,2.4,980.7,14.2,2,3.2
15/04/1959,14.9,7.8,7.9,2.4,980.5,12.1,2.3,3.4
16/04/1959,12.6,4.3,-0.6,0.1,992.2,4.5,1.7,2.3
17/04/1959,13.2,7.3,6.8,0.7,1004.1,7.3,1.6,2.3
18/04/1959,13.1,5.8,3.4,0,1012.6,5,1.8,2.5
19/04/1959,8.9,5.8,4.9,0.6,1015.8,7.2,1.2,1.8
20/04/1959,13.7,4.9,-0.2,0,1017.8,2.8,1.8,2.4
21/04/1959,14.6,7.7,5.6,0,1018,3.6,2,2.7
22/04/1959,13.6,6.1,5,0,1013.5,4.5,1.4,1.9
23/04/1959,14.1,6,2.4,0,1008.7,5.9,2.7,3.9
24/04/1959,14.3,4.1,3.9,6.2,1002.1,7.9,1.8,2.5
25/04/1959,10.6,3.3,-1.6,4.8,984.9,11,1.1,1.8
26/04/1959,12.4,5.2,4.6,3.9,981.2,8.8,2,3
27/04/1959,11.4,4.7,2.8,4.9,986.9,7.4,2.3,3.4
28/04/1959,11.1,2.2,1.1,1.1,990.7,8.8,2.4,3.7
29/04/1959,9.8,0.4,-1.7,0,1001.7,5,2.6,3.8
30/04/1959,12.3,1.2,-1.6,0,1011.4,8,2.4,3.6
01/05/1959,12.8,4.7,6,1.4,1010.9,11.8,2.4,3.7
02/05/1959,12.9,3,1.7,0,1011.2,11.5,2.3,3.6
03/05/1959,12,3.4,3.6,0,1006.9,7.1,2.3,3.3
04/05/1959,9.8,0.7,-1.2,0,1010.4,4.3,2.2,3.2
05/05/1959,10.5,5,2.3,0,1013.8,2,2.1,2.8
06/05/1959,11.8,3.4,-2,0,1012.2,4.2,2.7,3.9
07/05/1959,12.7,6.2,1.6,0.7,1002.7,7.7,2,2.9
08/05/1959,11.9,7,5.7,0,996.8,4.2,2,2.7
09/05/1959,11.9,5.7,1.7,1,991.8,6.1,1.1,1.6
10/05/1959,13.4,9.1,8.7,20.5,994.2,7.9,1.8,2.8
11/05/1959,16.2,7.3,4,0,1005.2,5.8,2.6,3.7
12/05/1959,20,9.7,5.7,0,1014.5,2.9,3.7,4.9
13/05/1959,19,10.4,8.4,0,1019.6,3.1,2.4,3.1
14/05/1959,20,10.7,9.3,0,1017.7,2,2.8,3.6
15/05/1959,19.1,10,7.4,0,1015.4,2.5,3.3,4.4
16/05/1959,18.2,9.6,5.7,0,1013.9,3.7,3.7,5
17/05/1959,15.7,10.3,5.7,0,1013.2,5,3.2,4.5
18/05/1959,15.2,9.9,6.8,0,1013.1,5.2,3.1,4.4
19/05/1959,11.3,8.1,3.9,1.1,1012.4,6.5,1.8,2.5
20/05/1959,10.6,7.8,5.6,15.1,1009.8,13,1.3,2.2
21/05/1959,10.9,7.7,7,28.9,1006,11.8,1.2,2
22/05/1959,15.1,8.8,8.8,3.1,1008.5,10.3,2,3.1
23/05/1959,16.4,9.2,5.9,0,1015.1,7.5,3.4,5
24/05/1959,17.2,8.3,3.1,0,1017.8,4.4,3.9,5.4
25/05/1959,18.2,9.4,2.3,0,1017,2.6,4.1,5.4
26/05/1959,19.5,11.2,7.3,0,1015.3,2.5,4.2,5.5
27/05/1959,17.7,9.6,6.9,0,1014.1,2.5,4,5.2
28/05/1959,16.8,6.8,4.6,0,1011.7,2.9,2.7,3.6
29/05/1959,16.8,7.9,5.8,0,1009.5,4,2.9,3.9
30/05/1959,16.8,9.2,6.8,0,1006.7,4,2.3,3
31/05/1959,17.7,9.4,9,1.8,1003.2,7.7,2.3,3.1
01/06/1959,16.2,7.1,5.3,0,1008.5,8.4,3.5,5.1
02/06/1959,19.3,10.1,9,0,1011.8,10.9,4.1,6.1
03/06/1959,17.1,9.4,5.8,6.7,1010.3,5.4,2.6,3.7
04/06/1959,13.7,7.2,6.2,0,1008.2,3.5,2.1,2.8
05/06/1959,18.2,8.3,2.8,0,1000.4,4.8,2.9,3.9
06/06/1959,17.4,9.7,7.9,4.3,991.8,12.3,3.4,5.1
07/06/1959,16.1,9.3,7.1,0.6,1000.6,14.6,3.1,4.7
08/06/1959,15.3,8.8,8.4,3.3,995.9,17,3.1,5.5
09/06/1959,15.6,8.3,7.1,1.4,1005.7,13,3.5,5.5
10/06/1959,15.7,7.5,6.2,0,1013.8,6.5,2.6,3.6
11/06/1959,18.3,11.3,11.2,0,1019.2,5.5,2,2.8
12/06/1959,22.3,12.4,9.7,0,1024.1,5.1,4.2,5.7
13/06/1959,18.2,11.7,8,0,1029.2,3.3,3.2,4.3
14/06/1959,22.4,10.5,7.3,0,1029.8,2.5,4.7,6.1
15/06/1959,19,11.1,9.7,0,1023.5,7.1,2.9,4
16/06/1959,19.9,9.6,7.6,0,1013.9,8,3.1,4.5
17/06/1959,20.6,10.1,10.3,0,1005.6,15.4,4.3,6.7
18/06/1959,16.6,8.3,6.6,0,1009.9,5.9,3.7,5.2
19/06/1959,15.4,6.7,4,0,1014.1,4.5,3.3,4.6
20/06/1959,19,7.8,3,0,1013.5,7.5,4,5.8
21/06/1959,18.3,11.8,9,0,1009,8.8,3.9,5.7
22/06/1959,19.9,11.9,10.2,10.2,1007.3,5.6,2.1,2.8
23/06/1959,19.4,11.3,9.5,0,1009.8,2.8,2.9,3.8
24/06/1959,18.3,10.1,6.8,1.7,1006.7,4.6,2.9,3.9
25/06/1959,17.5,12.8,12.6,0.3,1002.6,5.4,1.9,2.6
26/06/1959,17.8,11.4,10.1,0.5,999.6,6.7,2.6,3.7
27/06/1959,18.9,12.5,12.4,2,995.1,6.5,2.2,3
28/06/1959,19,11.8,10.6,0.2,996.3,8.4,3.4,4.7
29/06/1959,18.3,10.3,9.4,5.3,1000.5,7.6,3.3,4.8
30/06/1959,18.7,8.5,7.9,0.7,1007,5.4,3.1,4.3
01/07/1959,21.6,12.9,12,1.8,1007.3,13.1,2.4,3.4
02/07/1959,23.6,15.6,15.4,1.5,1005.4,14.5,3.9,5.5
03/07/1959,21.8,14.3,13.7,0,1005.2,10,3,4.2
04/07/1959,21.8,14.4,13.4,0,1003.7,6.6,4.4,6.2
05/07/1959,20.4,11.6,11.7,0.1,1007.1,8.5,3.1,4.5
06/07/1959,22.2,9.4,8,0,1015.2,5.2,3.7,5
07/07/1959,23.7,14.6,14.2,0,1012.5,4.7,4.3,5.7
08/07/1959,20.1,12.3,10.5,0,1009.6,5.6,4,5.4
09/07/1959,17.8,11.1,10.1,0,1011.8,3,2.8,3.7
10/07/1959,17.9,7.9,5.4,0,1009,5.2,3.6,5
11/07/1959,17.8,9.7,7.8,2.1,996.8,9.6,2.3,3.2
12/07/1959,17.7,9.1,7.7,0.1,996.5,13.7,3.5,5.4
13/07/1959,17.8,9.3,9.3,0.4,1006.3,9.9,3.7,5.3
14/07/1959,17.9,7.9,5.7,0,1010.6,4.2,2.4,3.2
15/07/1959,18.4,12.9,12.4,2,1005.7,4.8,2.1,2.7
16/07/1959,19.5,13.5,13.2,1.9,999.7,8.9,2,2.9
17/07/1959,22.4,13.9,12.2,0,1003.9,7.6,3,3.9
18/07/1959,19.9,11.1,13.2,4.7,1006.3,7.2,3.3,4.6
19/07/1959,19.1,8.9,7.6,0,1012.1,7.5,3.1,4.4
20/07/1959,20.6,13,13.4,0.1,1012.2,5.1,2.7,3.6
21/07/1959,17.2,12.2,9.8,0.9,1013.4,2.2,1.7,2.2
22/07/1959,19.4,13.4,12.3,0,1012,1.2,1.9,2.5
23/07/1959,21.1,13.1,10.5,0,1010.2,2.7,3.1,4.1
24/07/1959,22.8,13.6,10.6,0,1009.8,3.5,4,5.3
25/07/1959,24.3,13.1,8.9,0,1006,4.5,4.3,5.6
26/07/1959,20,12.6,14.6,2.6,1000.9,4.4,2.7,3.6
27/07/1959,17.8,11.4,9.4,5.9,997,4.5,3.1,4.1
28/07/1959,15.9,11.1,10.6,16.3,994.3,6.4,1.5,2.1
29/07/1959,18.1,10.2,8.4,4.6,999.2,5.6,2.3,3.1
30/07/1959,18.8,9.4,8.3,0.2,1004.8,3.5,2.5,3.4
31/07/1959,16.5,12.8,12.6,0,1009,4.8,2,2.7
01/08/1959,20.6,11.6,10.6,2.3,1011.6,6.3,2.8,3.8
02/08/1959,16.9,11.1,9.7,0.1,1010.8,6.3,2,2.6
03/08/1959,18.8,12.3,11.2,0.2,1007.6,4.4,1.9,2.5
04/08/1959,19.9,11.2,10.2,0,1009.6,7.4,2.6,3.7
05/08/1959,21.4,13.7,12.8,0,1011.9,6.5,2.8,3.7
06/08/1959,20.8,14.1,15,0,1011.5,4,2.5,3.3
07/08/1959,19.9,12.2,10.6,0,1009.2,4,2.8,3.8
08/08/1959,18.7,11.1,9,0,1006.7,3.6,3.2,4.3
09/08/1959,19.7,10.3,7.3,0,1005.2,5.6,3,4.2
10/08/1959,17.7,13.3,12.7,0,1002.7,5.5,1.7,2.3
11/08/1959,19.8,13.8,12.7,0,999.8,3.3,1.7,2.2
12/08/1959,18.6,10.9,11.7,0,1000.2,4.8,2.1,2.8
13/08/1959,16.7,9.5,6.5,6.1,989.2,11.2,1.2,1.9
14/08/1959,16.7,11.4,9.6,0,987,20.5,2.9,4.5
15/08/1959,18.9,9.2,9.4,0,1002.3,13,4.1,5.9
16/08/1959,18.9,7.7,5.1,0,1012.3,6.3,2.8,4
17/08/1959,22.7,11.4,6.5,0,1013.8,8.5,3.5,4.7
18/08/1959,21.3,12.6,8.7,0,1011.6,8,3.2,4.5
19/08/1959,20,13.8,10.8,0,1006.6,8.6,2.5,3.5
20/08/1959,21.8,14.4,12.3,0.8,1002.9,3.3,2.4,3.1
21/08/1959,22.1,14.3,14,6.3,1003.4,4.1,2.3,3.1
22/08/1959,22.7,10.4,9.6,0,1007.8,5.9,2.9,4
23/08/1959,25,15.8,13.3,1.5,1011.4,7.4,3.2,4.2
24/08/1959,23.3,18.2,17.3,0,1013.9,14.7,2.4,3.1
25/08/1959,23,17.2,17.3,0,1018.3,12.8,2.4,3.2
26/08/1959,20.4,13,15.4,0,1020.8,6.5,1.5,2
27/08/1959,23.2,10.9,7.2,0,1017.2,5.7,3.3,4.5
28/08/1959,15.7,9.9,8,0.3,1016,9.6,2.2,3.2
29/08/1959,16.9,9.4,7.9,0,1017.8,5.8,2.7,3.8
30/08/1959,17.1,7.2,5.4,0,1017.4,3.9,2,2.7
31/08/1959,18.4,8.9,6.4,0,1018.2,5.2,2.7,3.8
01/09/1959,17.7,9.8,4.8,0,1016.3,4.3,2.5,3.5
02/09/1959,18.9,7.4,4.3,0,1014.9,3.7,2.5,3.5
03/09/1959,19,6.6,5.7,0,1016.2,3.6,2.2,3.1
04/09/1959,20,10.6,7.6,0,1015.5,5.2,2.6,3.5
05/09/1959,20.1,11.1,7.3,0,1013.1,6.4,2.8,3.8
06/09/1959,17.4,11.9,7.7,0.5,1011.3,2.6,1.2,1.6
07/09/1959,17.9,11.4,10.1,0,1014.8,2.8,1.4,1.8
08/09/1959,20,8.9,6.2,0,1014.8,2.5,2.3,3.1
09/09/1959,22.3,10.4,6.8,0,1013.4,2.7,2.6,3.5
10/09/1959,21.8,9.6,7.4,0,1011.6,3,2.6,3.5
11/09/1959,23.1,12.8,10.1,0,1009.2,3.8,2.3,3
12/09/1959,23.5,11.4,9.2,0,1008.3,2.9,2.4,3.2
13/09/1959,19,11.9,9.5,0,1010.3,4.8,1.7,2.3
14/09/1959,17.3,10.6,11.4,0,1011.2,5.9,1.8,2.6
15/09/1959,16.6,10,6.2,0,1009.3,7,2,2.6
16/09/1959,14.9,12.6,11.1,0,1010.1,12.1,1.9,2.4
17/09/1959,15,12,12.3,0,1014.3,9.8,1.7,2.1
18/09/1959,15.1,12.8,10.6,0,1017.2,4.6,1.3,1.6
19/09/1959,16.1,12.8,12.2,0,1016.8,3.8,1.1,1.4
20/09/1959,18.5,10,8.2,0,1011.7,6.7,1.6,2
21/09/1959,16.7,10.4,12,15.7,1003.4,6.3,1.2,1.6
22/09/1959,16.6,10.1,8.4,0,1007.6,7.2,1.9,2.6
23/09/1959,16,10.8,10.1,0.6,1011.6,4.3,1.2,1.5
24/09/1959,19.4,14.3,11.7,0,1006,7.3,1.7,2.1
25/09/1959,20,9.3,12.8,7.5,999.8,7,1.3,1.7
26/09/1959,15.8,5.6,4.4,0,1011.3,5.7,1.8,2.5
27/09/1959,17.3,5.5,3.4,0,1018.7,6,2,2.8
28/09/1959,16.6,7.1,2.9,0,1017,7.1,1.5,2.1
29/09/1959,17.1,10.1,5.7,0,1010.8,6,1.5,2.1
30/09/1959,18.5,11.3,7.3,0,1006.4,6.4,1.4,1.9
01/10/1959,20.3,11.9,12.4,0,1007.9,8.3,1.9,2.4
02/10/1959,19,11.2,6.9,0,1010.7,6.6,1.3,1.8
03/10/1959,19.4,14.4,14.5,0,1009.5,7.7,1.4,1.8
04/10/1959,19.6,13.8,12.3,0,1008.4,8.8,1.9,2.5
05/10/1959,19.6,13.5,10.5,0,1005.4,9.8,2.1,2.6
06/10/1959,16.7,13.4,11,4.2,1004.1,8.8,1.2,1.6
07/10/1959,16.7,10.8,7.3,4,1008.2,4.8,1,1.5
08/10/1959,16.1,11.7,10.3,0.4,1007.1,8.5,0.8,1.1
09/10/1959,16.3,13.9,13.5,0.6,1001.5,13.8,1.5,1.8
10/10/1959,13.9,10.9,10.9,32.6,996.5,5.5,0.7,0.9
11/10/1959,13.3,8.9,10.7,0.2,999.8,5.4,0.6,0.9
12/10/1959,14.3,5.9,4.7,4.4,1004.7,9.2,0.6,0.9
13/10/1959,14.8,4.3,2.4,0,1012,4.5,1,1.4
14/10/1959,16.3,8.4,3.1,0,1009.9,6.5,1.1,1.5
15/10/1959,16.6,9.6,9.8,0,1005.8,7.1,0.9,1.4
16/10/1959,15.4,9.6,5.9,1.9,994.3,10.5,0.6,0.9
17/10/1959,14.4,8.7,9.2,31.6,982.1,9.2,0.6,0.8
18/10/1959,14.8,6.2,4.7,3,988.4,11.8,1.1,1.5
19/10/1959,13.4,5.3,6.2,0.8,994.6,16.5,1.4,1.9
20/10/1959,12.4,5,3.4,0.1,1007.3,10.7,0.8,1.1
21/10/1959,16.7,7.9,11.1,6,1003.2,14.2,0.9,1.2
22/10/1959,14.1,7.6,6,0,1014.8,11.2,1.3,1.6
23/10/1959,15.8,10.3,6.6,0,1014.7,14.9,1.6,2
24/10/1959,13.9,4.2,3.9,2.3,1006.2,11.6,0.7,1
25/10/1959,12.1,4.6,2.8,0,1006.7,15.4,1.4,1.8
26/10/1959,11.3,7.7,6.3,4.1,986.3,16.9,0.7,1
27/10/1959,11.1,4.1,4.9,8.8,968,24.5,0.9,1.4
28/10/1959,10.6,2.7,3.2,1.6,992.1,16.5,1.2,1.7
29/10/1959,10.2,1.1,0.4,0,1004.9,9.2,0.5,0.8
30/10/1959,12.6,6.3,7.9,0,1001.2,10.9,0.6,0.9
31/10/1959,13.5,3.7,2.3,0.1,1006.7,8.6,0.4,0.6
01/11/1959,13.6,7.2,5.4,0,1011.8,5.9,0.5,0.7
02/11/1959,14.1,6.2,9,0.7,1008.2,9.9,0.8,1
03/11/1959,10.4,2.1,1.9,0,1015.3,9.3,0.7,0.9
04/11/1959,12,1.2,0.1,0,1018.3,12.1,0.7,1
05/11/1959,11,8.3,9.1,1.5,1013.8,5.9,0.4,0.6
06/11/1959,10.2,7.8,7.6,1,1009.3,3.5,0.4,0.5
07/11/1959,9.5,6.6,5.9,1.4,1010,6.1,0.5,0.7
08/11/1959,11.6,3.8,1.8,0.3,1000.4,13.9,1,1.3
09/11/1959,10.7,2,2.8,4.4,990.4,12.8,0.4,0.5
10/11/1959,6.7,0.1,0.4,0,990.7,13,0.6,0.8
11/11/1959,6.7,-0.8,-2.4,0,990,7.4,0.4,0.6
12/11/1959,5.6,-0.5,-3.2,0.1,990.2,7.2,0.4,0.5
13/11/1959,7.9,3.9,1.1,35.1,971,23.3,0.7,1.1
14/11/1959,9,5.9,3.9,0.1,981.2,18.4,1.2,1.5
15/11/1959,9.3,3.8,4,0,989.3,12.8,0.5,0.7
16/11/1959,8.4,2.4,1.8,0,991.4,6.5,0.2,0.3
17/11/1959,6.8,2.2,1.2,0,988.9,5.8,0.2,0.4
18/11/1959,8.1,4.7,1.9,6.9,982.5,13.3,0.5,0.6
19/11/1959,12.9,5.8,2.8,14.1,976.5,18.7,0.9,1.2
20/11/1959,10.6,5.6,6.8,0.6,989.2,4.8,0.4,0.5
21/11/1959,12.9,4.8,4.4,0,1000.8,4.6,0.1,0.2
22/11/1959,14.4,8.9,6.4,0.6,1005,11.8,0.8,1
23/11/1959,14.7,10.6,11.4,5.9,1001.6,14.5,0.8,1
24/11/1959,12,7.2,5.1,1.9,998.8,10.5,0.4,0.4
25/11/1959,12.1,7.7,8.5,3,992.3,11.1,0.6,0.8
26/11/1959,9.5,4.4,2.2,0,990.3,7.6,0.2,0.3
27/11/1959,10,4.5,2.7,0.1,994.1,9.2,0.3,0.3
28/11/1959,10.2,3.8,1.8,1.7,987.8,10.7,0.3,0.4
29/11/1959,8.3,1.7,1.8,0.1,980.1,9.6,0.1,0.1
30/11/1959,6.5,0.6,-4.2,10.1,979.3,5.2,0.3,0.4
01/12/1959,4.6,1,1.1,1.3,984.8,7.4,0.2,0.3
02/12/1959,10,1.1,-1.6,7.2,983,12.5,0.5,0.5
03/12/1959,5.4,0.6,0.9,4.6,984.7,7.1,0.4,0.5
04/12/1959,6.2,0.7,-1,0.6,993.2,10.2,0.2,0.2
05/12/1959,7.4,0.6,-1.4,4.1,991,10.4,0.4,0.5
06/12/1959,11.1,1.2,-2,15.6,977.4,14.1,0.4,0.5
07/12/1959,10.8,6.8,7.9,4.8,968.1,21.7,0.6,0.8
08/12/1959,9.5,5.1,6.8,16.6,971.6,16,0.5,0.6
09/12/1959,7.9,1.8,-3.3,0.1,987.4,9.2,0.6,0.7
10/12/1959,7.6,5.9,4,0,996.2,16.3,1,1.2
11/12/1959,7,5.6,5.1,11.4,1001.2,10.2,0.6,0.7
12/12/1959,8.3,1.1,0.3,5.3,1009.7,6.7,0,0
13/12/1959,11.2,6.1,5.2,0.9,1003.4,12.5,0.7,0.8
14/12/1959,8.1,2.6,4,0,996.1,10.3,0.5,0.6
15/12/1959,7.9,1.6,-1,0.9,988.2,9.6,0.2,0.2
16/12/1959,11.8,5.5,4.3,2.8,985.8,11,0.5,0.5
17/12/1959,11.9,5.2,5.1,1.5,981,23.1,0.8,1
18/12/1959,7.2,2.1,3.8,1.4,994.2,15.5,0.3,0.3
19/12/1959,12.2,3.2,0.3,3.9,996.5,14.3,0.6,0.7
20/12/1959,8.4,2.4,4.6,7.4,977,15.4,0.5,0.6
21/12/1959,6.1,1.6,0.2,0.1,982.8,11.7,0.2,0.2
22/12/1959,9.1,3.3,1.7,2.8,973.7,12.1,0.4,0.5
23/12/1959,7.7,3.9,3.1,0.8,962.2,16.7,1.2,1.5
24/12/1959,7.9,4.2,2.3,0.4,973.9,13.5,0.7,0.8
25/12/1959,10.6,3.8,1.6,6.6,973.2,12.8,0.5,0.7
26/12/1959,8.9,5.5,5,12.3,963.4,20.5,1,1.3
27/12/1959,7.8,3.3,4.7,6.6,968,15.8,0.5,0.5
28/12/1959,7.9,3.1,1.8,0,987.8,12.8,0.3,0.3
29/12/1959,13,3.9,2.5,6.2,990.5,17.9,0.7,0.9
30/12/1959,10.6,4.6,2.7,0,998.2,14.2,0.9,1.1
31/12/1959,11.9,8.6,8.9,5.9,988.5,11.6,0.6,0.7
01/01/1960,8.9,5.4,3.9,0.5,988,7.6,0.3,0.4
02/01/1960,8.3,6.7,5.3,9,994.5,7.7,0.3,0.4
03/01/1960,12.2,5.7,3.1,2,1001.3,8.3,0.5,0.6
04/01/1960,9.8,3.8,7.3,13.9,1008.3,8.7,0.5,0.6
05/01/1960,5.6,1,-0.5,0,1018.9,8.2,0,0
06/01/1960,4,-0.2,-2.2,0,1023.6,4.5,0.1,0.2
07/01/1960,7.9,1.7,-3,0,1018,4.5,0,0
08/01/1960,7.4,2.3,-1,0,1015,5.2,0.2,0.2
09/01/1960,7.2,1.1,-1.3,0,1019,9.6,0.7,0.8
10/01/1960,4.3,0.7,-0.5,0,1020,8.8,0.7,0.8
11/01/1960,7.5,2.2,-1,0,1013.7,10.4,0.7,0.8
12/01/1960,6.7,0,-1.7,0,1009.5,8.4,0,0
13/01/1960,6.6,0,-1.3,4.1,1005.8,13.3,0.5,0.6
14/01/1960,3.6,-0.8,-1.1,1.6,1013.3,14.7,0.9,1.3
